"","Index","NumberOfLoans","RatingCategory","BorrowerAPR","CreditScoreRangeUpper","CreditGrade","ProsperRating..Alpha.","CreditScoreCat","ProsperRatingCat"
"56",148,1,"ProsperRating",0.17601,679,"","B","(640,680]","(0.16,0.2]"
"57",149,1,"ProsperRating",0.22415,699,"","C","(680,720]","(0.2,0.25]"
"58",150,1,"ProsperRating",0.29394,739,"","D","(720,760]","(0.25,0.3]"
"59",151,1,"ProsperRating",0.17522,739,"","B","(720,760]","(0.16,0.2]"
"61",152,1,"ProsperRating",0.19323,719,"","C","(680,720]","(0.16,0.2]"
"62",153,1,"ProsperRating",0.16324,679,"","B","(640,680]","(0.16,0.2]"
"65",154,1,"ProsperRating",0.30899,699,"","E","(680,720]","(0.3,0.35]"
"66",155,1,"ProsperRating",0.19744,679,"","C","(640,680]","(0.16,0.2]"
"68",156,1,"ProsperRating",0.35843,619,"","E","(600,640]","(0.35,0.6]"
"70",157,1,"ProsperRating",0.13636,719,"","A","(680,720]","(0.1,0.16]"
"71",158,1,"ProsperRating",0.24246,659,"","C","(640,680]","(0.2,0.25]"
"72",159,1,"ProsperRating",0.35797,779,"","HR","(760,840]","(0.35,0.6]"
"73",160,1,"ProsperRating",0.2951,679,"","D","(640,680]","(0.25,0.3]"
"74",161,1,"ProsperRating",0.26528,719,"","D","(680,720]","(0.25,0.3]"
"75",162,1,"ProsperRating",0.35643,699,"","E","(680,720]","(0.35,0.6]"
"76",163,1,"ProsperRating",0.32538,679,"","E","(640,680]","(0.3,0.35]"
"78",164,1,"ProsperRating",0.13109,779,"","B","(760,840]","(0.1,0.16]"
"80",165,1,"ProsperRating",0.24246,759,"","C","(720,760]","(0.2,0.25]"
"81",166,1,"ProsperRating",0.27776,659,"","D","(640,680]","(0.25,0.3]"
"82",167,1,"ProsperRating",0.12216,799,"","AA","(760,840]","(0.1,0.16]"
"83",168,1,"ProsperRating",0.33286,619,"","E","(600,640]","(0.3,0.35]"
"84",169,1,"ProsperRating",0.33553,679,"","E","(640,680]","(0.3,0.35]"
"85",170,1,"ProsperRating",0.22283,779,"","C","(760,840]","(0.2,0.25]"
"86",171,1,"ProsperRating",0.21166,679,"","C","(640,680]","(0.2,0.25]"
"87",172,1,"ProsperRating",0.22773,659,"","C","(640,680]","(0.2,0.25]"
"88",173,1,"ProsperRating",0.33973,659,"","E","(640,680]","(0.3,0.35]"
"89",174,1,"ProsperRating",0.35643,719,"","HR","(680,720]","(0.35,0.6]"
"90",175,1,"ProsperRating",0.21372,679,"","B","(640,680]","(0.2,0.25]"
"92",176,1,"ProsperRating",0.35858,719,"","E","(680,720]","(0.35,0.6]"
"94",177,1,"ProsperRating",0.27462,699,"","C","(680,720]","(0.25,0.3]"
"95",178,1,"ProsperRating",0.35797,719,"","HR","(680,720]","(0.35,0.6]"
"96",179,1,"ProsperRating",0.12691,699,"","A","(680,720]","(0.1,0.16]"
"97",180,1,"ProsperRating",0.23718,739,"","B","(720,760]","(0.2,0.25]"
"98",181,1,"ProsperRating",0.23121,659,"","C","(640,680]","(0.2,0.25]"
"99",182,1,"ProsperRating",0.17151,659,"","B","(640,680]","(0.16,0.2]"
"100",183,1,"ProsperRating",0.10878,819,"","AA","(760,840]","(0.1,0.16]"
"101",184,1,"ProsperRating",0.35356,739,"","HR","(720,760]","(0.35,0.6]"
"103",185,1,"ProsperRating",0.15529,739,"","A","(720,760]","(0.1,0.16]"
"104",186,1,"ProsperRating",0.26681,699,"","D","(680,720]","(0.25,0.3]"
"105",187,1,"ProsperRating",0.19859,679,"","C","(640,680]","(0.16,0.2]"
"106",188,1,"ProsperRating",0.30532,659,"","D","(640,680]","(0.3,0.35]"
"107",189,1,"ProsperRating",0.19088,679,"","B","(640,680]","(0.16,0.2]"
"108",190,1,"ProsperRating",0.35797,739,"","HR","(720,760]","(0.35,0.6]"
"110",191,1,"ProsperRating",0.14476,679,"","C","(640,680]","(0.1,0.16]"
"111",192,1,"ProsperRating",0.34631,659,"","HR","(640,680]","(0.3,0.35]"
"112",193,1,"ProsperRating",0.2837,719,"","D","(680,720]","(0.25,0.3]"
"113",194,1,"ProsperRating",0.35797,759,"","HR","(720,760]","(0.35,0.6]"
"116",195,1,"ProsperRating",0.2214,719,"","C","(680,720]","(0.2,0.25]"
"117",196,1,"ProsperRating",0.19988,719,"","C","(680,720]","(0.16,0.2]"
"119",197,1,"ProsperRating",0.17359,739,"","B","(720,760]","(0.16,0.2]"
"120",198,1,"ProsperRating",0.22108,739,"","C","(720,760]","(0.2,0.25]"
"121",199,1,"ProsperRating",0.18913,779,"","C","(760,840]","(0.16,0.2]"
"125",200,1,"ProsperRating",0.20081,739,"","B","(720,760]","(0.2,0.25]"
